82,春光乍泄,8.9,1997,中国香港 日本 韩国,剧情 爱情 同性
83,心灵捕手,8.9,1997,美国,剧情
84,禁闭岛,8.8,2010,美国,剧情 悬疑 惊悚
85,布达佩斯大饭店,8.8,2014,美国 德国 英国,剧情 喜剧 冒险
86,勇敢的心,8.9,1995,美国,动作 传记 剧情 历史 战争
87,剪刀手爱德华,8.7,1990,美国,剧情 奇幻 爱情
88,天使爱美丽,8.7,2001,法国 德国,喜剧 爱情
89,阿凡达,8.7,2009,美国 英国,动作 科幻 冒险
90,摩登时代,9.3,1936,美国,剧情 喜剧 爱情
91,绿皮书,8.9,2018,美国,剧情 喜剧 传记
92,海蒂和爷爷,9.2,2015,德国 瑞士 南非,剧情 冒险 家庭
93,加勒比海盗,8.7,2003,美国,动作 冒险 奇幻
94,致命ID,8.8,2003,美国,剧情 悬疑 惊悚
95,喜剧之王,8.7,1999,中国香港,喜剧 剧情 爱情
96,断背山,8.8,2005,美国 加拿大,剧情 爱情 同性 家庭
97,幽灵公主,8.9,1997,日本,动画 奇幻 冒险
98,入殓师,8.8,2008,日本,剧情
99,狩猎,9.1,2012,丹麦 瑞典,剧情
100,阳光灿烂的日子,8.8,1994,中国大陆 中国香港,剧情 爱情
101,重庆森林,8.7,1994,中国香港,剧情 爱情
102,第六感,8.9,1999,美国,剧情 悬疑 惊悚
103,杀人回忆,8.8,2003,韩国,犯罪 剧情 悬疑 惊悚
104,请以你的名字呼唤我,8.9,2017,意大利 法国 巴西 美国 荷兰 德国,剧情 爱情 同性
105,小森林 夏秋篇,9.0,2014,日本,剧情
106,消失的爱人,8.7,2014,美国,剧情 犯罪 悬疑 惊悚
107,玛丽和马克思,8.9,2009,澳大利亚,剧情 喜剧 动画
108,哈利·波特与死亡圣器(下),8.8,2011,美国 英国,剧情 悬疑 奇幻 冒险
109,告白,8.7,2010,日本,剧情 惊悚
110,红辣椒,9.0,2006,日本,动画 悬疑 科幻 惊悚
111,爱在黎明破晓前,8.8,1995,美国 奥地利 瑞士,剧情 爱情
112,7号房的礼物,8.9,2013,韩国,剧情 喜剧 家庭
113,一一,9.0,2000,中国台湾 日本,剧情 爱情 家庭
114,大鱼,8.8,2003,美国,剧情 家庭 奇幻 冒险
115,侧耳倾听,8.9,1995,日本,剧情 爱情 动画
116,阳光姐妹淘,8.8,2011,韩国,剧情 喜剧
117,小森林 冬春篇,9.0,2015,日本,剧情
118,射雕英雄传之东成西就,8.7,1993,中国香港,喜剧 奇幻 武侠 古装
119,超脱,8.9,2011,美国,剧情
120,蝙蝠侠：黑暗骑士崛起,8.7,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚
121,甜蜜蜜,8.8,1996,中国香港,剧情 爱情
122,倩女幽魂,8.7,1987,中国香港,爱情 奇幻 武侠 古装
123,驯龙高手,8.7,2010,美国,动画 奇幻 冒险
124,唐伯虎点秋香,8.6,1993,中国香港,喜剧 爱情 古装
125,菊次郎的夏天,8.8,1999,日本,剧情 喜剧
126,萤火之森,8.8,2011,日本,剧情 爱情 动画 奇幻
127,恐怖直播,8.8,2013,韩国,剧情 犯罪 悬疑
128,爱在日落黄昏时,8.8,2004,美国 法国,剧情 爱情
129,幸福终点站,8.8,2004,美国,喜剧 剧情 爱情
130,超能陆战队,8.7,2014,美国,喜剧 动作 科幻 动画 冒险
131,借东西的小人阿莉埃蒂,8.8,2010,日本,动画 奇幻 冒险
132,无人知晓,9.1,2004,日本,剧情
133,神偷奶爸,8.6,2010,美国 法国,喜剧 动画 冒险
134,风之谷,8.9,1984,日本,动画 奇幻 冒险
135,怪兽电力公司,8.7,2001,美国,儿童 喜剧 动画 奇幻 冒险
136,上帝之城,8.9,2002,巴西 法国,犯罪 剧情
137,玩具总动员3,8.8,2010,美国,喜剧 动画 奇幻 冒险
138,血战钢锯岭,8.7,2016,美国 澳大利亚,剧情 传记 历史 战争
139,完美的世界,9.1,1993,美国,剧情 犯罪
140,电锯惊魂,8.7,2004,美国,悬疑 惊悚 恐怖
141,傲慢与偏见,8.6,2005,法国 英国 美国,剧情 爱情
142,喜宴,8.9,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭
143,时空恋旅人,8.7,2013,英国,喜剧 爱情 奇幻
144,岁月神偷,8.7,2010,中国香港 中国大陆,剧情 家庭
145,谍影重重3,8.8,2007,美国 德国,动作 悬疑 惊悚
146,七武士,9.2,1954,日本,动作 冒险 剧情
147,英雄本色,8.7,1986,中国香港,剧情 动作 犯罪
148,教父3,8.9,1990,美国,剧情 犯罪
149,疯狂原始人,8.7,2013,美国,喜剧 动画 冒险
150,被解救的姜戈,8.7,2012,美国,剧情 动作 西部 冒险
151,真爱至上,8.6,2003,英国 美国 法国,喜剧 剧情 爱情
152,萤火虫之墓,8.7,1988,日本,动画 剧情 战争
153,三块广告牌,8.7,2017,美国 英国,剧情 犯罪
154,心迷宫,8.7,2014,中国大陆,剧情 犯罪 悬疑
155,东邪西毒,8.6,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装
156,爆裂鼓手,8.7,2014,美国,剧情 音乐
157,纵横四海,8.8,1991,中国香港,剧情 喜剧 动作 犯罪
158,哪吒闹海,9.0,1979,中国大陆,冒险 动画 奇幻
159,记忆碎片,8.6,2000,美国,犯罪 剧情 悬疑 惊悚
160,贫民窟的百万富翁,8.6,2008,英国 美国,剧情 爱情
161,达拉斯买家俱乐部,8.8,2013,美国,剧情 传记 同性
162,黑天鹅,8.6,2010,美国,剧情 惊悚
163,荒蛮故事,8.8,2014,阿根廷 西班牙,剧情 喜剧 犯罪
164,我是山姆,8.9,2001,美国,剧情 家庭
165,功夫,8.5,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻
166,天书奇谭,9.2,1983(中国大陆),中国大陆,动画 奇幻
167,花样年华,8.6,2000,中国香港,剧情 爱情
168,头号玩家,8.7,2018,美国,动作 科幻 冒险
169,你的名字。,8.4,2016,日本,剧情 爱情 动画
170,卢旺达饭店,8.9,2004,英国 南非 意大利,剧情 历史 战争
171,雨人,8.7,1988,美国,剧情
172,头脑特工队,8.7,2015,美国,喜剧 动画 冒险
173,忠犬八公物语,9.1,1987,日本,剧情
174,一个叫欧维的男人决定去死,8.8,2015,瑞典,剧情
175,模仿游戏,8.7,2014,英国 美国,剧情 传记 战争 同性
176,你看起来好像很好吃,8.9,2010,日本,剧情 动画 儿童
177,无敌破坏王,8.7,2012,美国,喜剧 动画 奇幻 冒险
178,黑客帝国3：矩阵革命,8.7,2003,美国 澳大利亚,动作 科幻
179,未麻的部屋,8.9,1997,日本,动画 奇幻 惊悚
180,恋恋笔记本,8.5,2004,美国,剧情 爱情
181,冰川时代,8.5,2002,美国,喜剧 动画 冒险
182,海边的曼彻斯特,8.6,2016,美国,剧情 家庭
183,人生果实,9.5,2017,日本,纪录片
184,釜山行,8.5,2016,韩国,动作 惊悚 灾难
185,二十二,8.7,2015,中国大陆,纪录片
186,虎口脱险,8.9,1966,法国 英国,喜剧 战争
187,海街日记,8.7,2015,日本,剧情 家庭
188,雨中曲,9.0,1952,美国,喜剧 歌舞 爱情
189,房间,8.8,2015,爱尔兰 加拿大 英国 美国,剧情 家庭
190,人工智能,8.6,2001,美国,冒险 剧情 科幻
191,恐怖游轮,8.4,2009,英国 澳大利亚,剧情 悬疑 惊悚
192,魔女宅急便,8.6,1989,日本,动画 奇幻 冒险
193,惊魂记,8.9,1960,美国,悬疑 惊悚 恐怖
194,海洋,9.1,2009,法国 瑞士 西班牙 美国 阿联酋,纪录片
195,罗生门,8.8,1950,日本,犯罪 剧情 悬疑
196,燃情岁月,8.8,1994,美国,剧情 爱情 战争 西部
197,哈利·波特与阿兹卡班的囚徒,8.6,2004,英国 美国,剧情 奇幻 冒险
198,新世界,8.8,2013,韩国,剧情 犯罪
199,穿越时空的少女,8.6,2006,日本,剧情 爱情 科幻 动画
200,疯狂的石头,8.4,2006,中国大陆 中国香港,喜剧 犯罪
201,魂断蓝桥,8.8,1940,美国,剧情 爱情 战争
202,奇迹男孩,8.6,2017,美国 中国香港,剧情 儿童 家庭
203,终结者2：审判日,8.7,1991,美国 法国,动作 科幻
204,哈利·波特与密室,8.5,2002,美国 英国 德国,奇幻 冒险
205,可可西里,8.8,2004,中国大陆 中国香港,剧情 犯罪
206,爱在午夜降临前,8.8,2013,美国 希腊,剧情 爱情
207,初恋这件小事,8.4,2010,泰国,剧情 喜剧 爱情
208,完美陌生人,8.5,2016,意大利,剧情 喜剧
209,阿飞正传,8.5,1990,中国香港,犯罪 剧情 爱情
210,牯岭街少年杀人事件,8.8,1991,中国台湾,剧情 犯罪
211,2001太空漫游,8.8,1968,英国 美国,科幻 惊悚 冒险
212,猜火车,8.5,1996,英国,剧情 犯罪
213,香水,8.5,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻
214,谍影重重2,8.6,2004,美国 德国,动作 悬疑 惊悚
215,谍影重重,8.6,2002,美国 德国 捷克,动作 悬疑 惊悚
216,无耻混蛋,8.6,2009,德国 美国,剧情 犯罪
217,战争之王,8.6,2005,美国 法国,剧情 犯罪
218,青蛇,8.5,1993,中国香港,剧情 爱情 奇幻 古装
219,新龙门客栈,8.6,1992,中国香港 中国大陆,动作 爱情 武侠 古装
220,地球上的星星,8.9,2007,印度,剧情 儿童 家庭
221,绿里奇迹,8.8,1999,美国,犯罪 剧情 奇幻 悬疑
222,源代码,8.4,2011,美国 加拿大,科幻 悬疑 惊悚
223,浪潮,8.7,2008,德国,剧情 惊悚
224,小偷家族,8.7,2018,日本,剧情 犯罪 家庭
225,朗读者,8.5,2008,美国 德国,剧情 爱情
226,城市之光,9.3,1931,美国,喜剧 剧情 爱情
227,步履不停,8.8,2008,日本,剧情 家庭
228,血钻,8.6,2006,美国 德国,剧情 惊悚 冒险
229,彗星来的那一夜,8.5,2013,美国 英国,科幻 悬疑 惊悚
230,疯狂的麦克斯4：狂暴之路,8.6,2015,澳大利亚 美国,动作 科幻 冒险
231,小萝莉的猴神大叔,8.4,2015,印度,剧情 喜剧 动作
232,再次出发之纽约遇见你,8.5,2013,美国,喜剧 爱情 音乐
233,追随,8.9,1998,英国,犯罪 悬疑 惊悚
234,色，戒,8.4,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色
235,一次别离,8.7,2011,伊朗 法国,剧情 家庭
236,东京物语,9.2,1953,日本,剧情 家庭
237,大佛普拉斯,8.7,2017,中国台湾,剧情 喜剧 犯罪
238,遗愿清单,8.6,2007,美国,冒险 喜剧 剧情
239,聚焦,8.8,2015,美国,剧情 传记
240,驴得水,8.3,2016,中国大陆,剧情 喜剧
241,发条橙,8.5,1971,英国 美国,犯罪 剧情 科幻
242,黑鹰坠落,8.7,2001,美国,动作 历史 战争
243,撞车,8.6,2004,美国 德国,犯罪 剧情
244,我爱你,9.0,2011,韩国,剧情 爱情
245,千钧一发,8.8,1997,美国,剧情 科幻 惊悚
246,梦之安魂曲,8.7,2000,美国,剧情
247,E.T. 外星人,8.6,1982,美国,剧情 科幻
248,四个春天,8.9,2017,中国大陆,纪录片 家庭
249,变脸,8.5,1997,美国,动作 科幻 犯罪 惊悚
250,网络谜踪,8.6,2018,美国 俄罗斯,剧情 犯罪 悬疑 惊悚
